title,price,link
Chevy chevelle bench or tv stand 😎,"$1,200",https://web.facebook.com/marketplace/item/1381312019699237/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Gantry crane and cherry picker for sale,$600,https://web.facebook.com/marketplace/item/1177822470314981/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Storage shed/ Doll house/ Chicken Coop,$250,https://web.facebook.com/marketplace/item/644132888185207/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Kitchen Aid Mixer,$50,https://web.facebook.com/marketplace/item/913212763959579/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Can Am Sound system,"$3,000",https://web.facebook.com/marketplace/item/1313933796515831/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
EV Sailboat 30’ Islander MK II Solar Electric Conversion,"$5,000",https://web.facebook.com/marketplace/item/512785861391249/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Japanese Style Bathtub Pet Bed,$45,https://web.facebook.com/marketplace/item/483513151033006/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
"1997 Lance Camper SquireLite 8'6""","$4,250",https://web.facebook.com/marketplace/item/1320348009306013/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1995 Toyota bandeirante (fj45),"$29,250",https://web.facebook.com/marketplace/item/2197381767322820/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
3 Beds 2 Baths - House,"$3,300",https://web.facebook.com/marketplace/item/1197852488426843/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1996 EXISS goose neck,"$13,250",https://web.facebook.com/marketplace/item/958992112280318/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2000 Acura integra,"$3,500",https://web.facebook.com/marketplace/item/2065326410597712/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
"13.4 acres in McArthur, CA 96056","$80,000",https://web.facebook.com/marketplace/item/892107508928078/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
12 FT Aluminum Gregor welded boat and Trailer,"$1,500",https://web.facebook.com/marketplace/item/481252028412593/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Follow,,https://www.facebook.com/people/Mikhal-Mike/pfbid02MgCQ6N5eQzegMt3p7V7Hv922MM4GcnfoYeUgq4ut68AMCyTqLwww5C72jJQHBTBUl/
Nike Dunk Low for women's,,https://web.facebook.com/marketplace/item/639141991953667/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Timberland Boots Shose,"ETB8,500",https://web.facebook.com/marketplace/item/608851461854890/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Timberland boots shose,"ETB8,500",https://web.facebook.com/marketplace/item/1151827329664418/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Adidas Spezial,"ETB6,500",https://web.facebook.com/marketplace/item/1150234603165794/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Adidas Sprzial,"ETB6,500",https://web.facebook.com/marketplace/item/1304393264220681/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Nike Air force for women's,"ETB5,000",https://web.facebook.com/marketplace/item/1780185026148376/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
"Skechers man,s Shose","ETB5,000",https://web.facebook.com/marketplace/item/1414205846620558/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
"Sketchers man,s Shose","ETB5,000",https://web.facebook.com/marketplace/item/1205515964474183/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Skechers Mans Shose,"ETB5,000",https://web.facebook.com/marketplace/item/928978309390194/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Sketchers for women's,"ETB4,000",https://web.facebook.com/marketplace/item/2593045327552912/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Sketches for women's,"ETB4,000",https://web.facebook.com/marketplace/item/9122862291164851/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Create new listing,,https://web.facebook.com/marketplace/
Sell,,https://m.facebook.com/login/device-based/regular/login/?login_attempt=1&next=https%3A%2F%2Fwww.facebook.com%2Fmarketplace%2Fprofile%2F100089617338533%2F%3F_rdc%3D1%26_rdr
