title,price,link,highlight
Ear Pads Replacement Ear Cushions Covers Pads Earmuffs Compatible with SteelSeries ...,"ETB 2501
",https://www.ubuy.et/en/product/1IVZ9G9Y0-ear-pads-replacement-ear-cushions-covers-pads-earmuffs-compatible-with-steelseries-arctis-3-arctis-5-arctis-7-headphone-headset-memory-foam,new
Sony KD32W830K 32 inch W830K HD LED HDR TV with Google TV Bundle with Premium 2 YR ...,"ETB 49644
",https://www.ubuy.et/en/product/79SBM2AUO-sony-kd32w830k-32-inch-w830k-hd-led-hdr-tv-with-google-tv-2022-bundle-with-premium-2-yr-cps-enhanced-protection-pack,new
uxcell FFC FPC Cable 0.5mm Pitch 40 Pin 200mm Flexible Flat Ribbon Cable for LCD ...,"ETB 1770
",https://www.ubuy.et/en/product/4Z0UY7KFS-uxcell-ffc-fpc-cable-0-5mm-pitch-40-pin-200mm-flexible-flat-ribbon-cable-for-lcd-screen-b-type,new
"AC to DC Converter, MYSWEETY 12 Volt Power Supply AC 110V-220V to DC 0-48V Module ...","ETB 6455
",https://www.ubuy.et/en/product/1FUH3CSS-adjustable-dc-power-voltage-converter-ac-110v-220v-to-dc-0-48v-module-switching-power-supply-digital,new
Remote Control Holder Replacement Controller for HTV Box A1 A2 A3 B7 for Tigre TV ...,"ETB 1915
",https://www.ubuy.et/en/product/1JCBLTYRM-abwan-remote-control-holder-replacement-controller-for-htv-box-a1-a2-a3-b7-for-tigre-tv-box-for-luna-tv-box-for-lunatv-box-iptv5-plus-iptv6-iptv8,new
Laptop Replacement US Layout Keyboard for Lenovo ThinkPad T540 E531 W540 W541 W550 ...,"ETB 2356
",https://www.ubuy.et/en/product/54C2FF0IS-laptop-replacement-us-layout-keyboard-for-lenovo-thinkpad-t540-e531-w540-w541-w550-w550s-t540p-t550-series-fit-p-n-0c45254-04y2465-without-red,new
Waveshare Mini Dual Gigabit Ethernet Base Board Compatible with Raspberry Pi ...,"ETB 5869
",https://www.ubuy.et/en/product/7A4258JBC-waveshare-mini-dual-gigabit-ethernet-base-board-compatible-with-raspberry-pi-compute-module-4-suitable-for-all-variants-of-compute-module-4,new
"Panasonic VHS to DVD Recorder VCR Combo w/Remote, HDMI","ETB 139783
",https://www.ubuy.et/en/product/7A3K5GW9E-panasonic-vhs-to-dvd-recorder-vcr-combo-w-remote-hdmi,new
"PHEANOO 2.1 Compact Sound Bars for TV with Subwoofer, HDMI ARC/Bluetooth ...","ETB 9676
15239

",https://www.ubuy.et/en/product/5C8Q3NKRI-pheanoo-2-1-compact-sound-bars-for-tv-with-subwoofer-hdmi-arc-bluetooth-5-0-optical-aux-rca-connection-remote-control-adjustable-bass-wall,new
Sigma 16-28mm f/2.8 DG DN Contemporary Lens for Sony E Mount with Altura Photo ...,"ETB 124894
",https://www.ubuy.et/en/product/7AOPW4QWQ-sigma-16-28mm-f-2-8-dg-dn-contemporary-lens-for-sony-e-mount-with-altura-photo-advanced-accessory-and-travel-bundle,new
