title,price,description,highlight
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3718,ETB861.00Ex Tax: ETB749.00,"Mesfin_ Men’s Flat Pure Leather ShoeHand MadeGenuine LeatherRubber SoleHas no Laces, Very conve..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3723,ETB861.00Ex Tax: ETB749.00,Mesfin_ Men’s Pure Leather Lace –up Shoe-Embossed genuine leather uppers-Mean's Comfortable Black Sh..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3721,ETB862.00Ex Tax: ETB749.00,"Mesfin_ Men’s Pure Leather Slip on Shoe-Hand Made-Genuine Leather-Rubber Sole-Light weight, comforta..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4371,"ETB1,415.00Ex Tax: ETB1,231.00",Men's Classic Leather Black Shine Shoes-      100% leatherH&nbsp..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4627,"ETB1,415.00Ex Tax: ETB1,231.00","Genuine leather comfortable, classic, and Attractive designed flat men's shoes.-Hand made ..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4784,"ETB1,415.00Ex Tax: ETB1,230.00","Mikael _Men's
Genuine Leather-Slip on Shoe - 100% pure leather- Men's Classic
Leather Shoes- Slip-..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3900,ETB486.00Ex Tax: ETB423.00,"Minaleshewa _ Men's
Leather Comfortable Light brown  Sandal Shoe-Leat..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=3396,ETB971.00Ex Tax: ETB845.00,Bana  men's genuine leather Short Boots 100% genuine leather and high qualityClassic one band S..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4951,ETB486.00Ex Tax: ETB486.00,"Lightweight, soft and comfortable upper and liningUpper made of leatherLight syntactic soleEasy slip..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4950,ETB486.00Ex Tax: ETB486.00,"Lightweight, soft and comfortable upper and liningUpper
made of leatherLight
syntactic soleEasy
s..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5215,ETB486.00Ex Tax: ETB486.00,"Minalshawa_ Open-toe
Leather Sandal Sandals feature a
leather upper with an asymmetrical strap.Sli..",existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=4918,ETB625.00Ex Tax: ETB625.00,Nadiya_ Men’s  Leather Flat Open Shoe -Leather lining -Hand made -Recycled car t..,existing
https://helloomarket.com/index.php?route=product/product&path=99_86&product_id=5775,"ETB1,665.00Ex Tax: ETB1,448.00","Quality made of pure leather grey color striped long men's
boots shoes. All-weather Boots -Made fro..",existing
