title,price,description
https://helloomarket.com/index.php?route=product/product&path=99&product_id=4058,ETB357.00Ex Tax: ETB311.00,Men’s Round Neck Long Sleeve T-shirt- Regular fit- Round neck- Made from quality mate..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=5549,"ETB1,387.00Ex Tax: ETB1,206.00",100%Pure Leather           Rubber Sole The shoes a..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=5223,ETB312.00Ex Tax: ETB312.00,"Men's Stretch Comfortable  T-Shirt-100 cotton, short-sleeve -Soft and lightweight-Str.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2969,ETB152.00Ex Tax: ETB132.00,"Crew-neck, long-sleeve
shirts feature a comfortable cotton blend and a straight hem for easy, every.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2998,ETB187.00Ex Tax: ETB163.00,Markon  Men's  Cotton Round neck T- ShirtMen's Cotton Half Sleeve T-ShirtCotton Round neck..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2311,ETB210.00Ex Tax: ETB183.00,"This soft cotton crew neck sweatshirt is a
go-to layer for workouts and lounging  Every .."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=4764,ETB345.00Ex Tax: ETB300.00,Markon Men’s T-shirt 100% Cotton 4-way stretch Pull-on closure A crew neckline and short-sleeve Ligh..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2314,ETB466.00Ex Tax: ETB406.00,"Classic and Fashion Soft, durable fleece with
double-needle cover-seamed neck and armholes st.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2454,ETB234.00Ex Tax: ETB204.00,"Markon Unisex  100% Cotton Short Sleeve O Neck T-shirtMade
From Cotton and Stylish embroidery .."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2988,ETB233.00Ex Tax: ETB203.00,"Markon Unisex Cotton Round neck T- ShirtCotton Graphic printed Half Sleeve T- Shirt-Spear
ShieldReg.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2485,ETB222.00Ex Tax: ETB194.00,Markon  Fashion Africa printed  Short Sleeve T-Shirt Comfortable and Soft Cotton T -S..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=1370,ETB188.00Ex Tax: ETB163.00,"Short-Sleeve
  Blue Black Men's T-ShirtBy Rosa & BirhaneSize-LColor-Dark BlueWeight -0.13g.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2521,ETB420.00Ex Tax: ETB365.00,Markon_ Men's Long Sleeve Casual Button-front Shirt100% Polyester Button closureClassic and Sty..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2273,ETB140.00Ex Tax: ETB122.00,"100% CottonComfort Color Men's Adult Short Sleeve Pocket Tee, StyleLeft Chest Pocket with Three-butt.."
https://helloomarket.com/index.php?route=product/product&path=99&product_id=5573,ETB108.00Ex Tax: ETB108.00,Men's  White ShirtLong-sleevedColor: WhiteManufacturer: Masresha Nega..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=3909,"ETB923.00ETB1,040.00Ex Tax: ETB803.00",Mebetu_ Men’s Lace up Shoe- Rubber sole- Classic fit- Embossed genuine leather uppers. Color: C..
https://helloomarket.com/index.php?route=product/product&path=99&product_id=2322,ETB986.00Ex Tax: ETB857.00,"100% Leather 

  Five Zipper pockets

  Padded back panel and padded, adjustabl.."
